Codigo,Acao,Tipo,Qtde Teorica,Part %
ABEV3,AMBEV S/A,ON EJ,4348260598,3.9575
AZUL4,AZUL,PN N2,317417183,0.8662
BTOW3,B2W DIGITAL,ON NM,194586014,0.6015
B3SA3,B3,ON EDJ NM,2047569597,4.3129
BBSE3,BBSEGURIDADE,ON NM,671601167,1.2167
BRML3,BR MALLS PAR,ON NM,840495419,0.7528
BBDC3,BRADESCO,ON EJ N1,1091983694,1.8307
BBDC4,BRADESCO,PN EJ N1,3873597664,6.9859
BRAP4,BRADESPAR,PN EJ N1,222108601,0.4118
BBAS3,BRASIL,ON NM,1418466803,3.6629
BRKM5,BRASKEM,PNA N1,264632416,0.4039
BRFS3,BRF SA,ON NM,811416229,1.4021
BPAC11,BTGP BANCO,UNT N2,195774290,0.7186
CRFB3,CARREFOUR BR,ON NM,384888219,0.4543
CCRO3,CCR SA,ON NM,1115695556,1.0079
CMIG4,CEMIG,PN EJ N1,969723092,0.6401
HGTX3,CIA HERING,ON NM,126302831,0.2124
CIEL3,CIELO,ON EJ NM,1118386806,0.4549
COGN3,COGNA ON,ON NM,1498404420,0.8753
CSAN3,COSAN,ON NM,153417832,0.5392
CVCB3,CVC BRASIL,ON EJ NM,145151224,0.3084
CYRE3,CYRELA REALT,ON NM,263583096,0.4156
ECOR3,ECORODOVIAS,ON NM,171079276,0.1330
ELET3,ELETROBRAS,ON N1,324865142,0.5872
ELET6,ELETROBRAS,PNB N1,225964766,0.4188
EMBR3,EMBRAER,ON NM,735918554,0.7221
ENBR3,ENERGIAS BR,ON EJ NM,295402225,0.3131
EGIE3,ENGIE BRASIL,ON NM,254813401,0.6407
EQTL3,EQUATORIAL,ON NM,1010186085,1.1302
FLRY3,FLEURY,ON EJ NM,303938218,0.4400
GGBR4,GERDAU,PN N1,1029880805,1.0111
GOAU4,GERDAU MET,PN N1,662644908,0.3090
GOLL4,GOL,PN N2,134613917,0.2323
NTCO3,GRUPO NATURA,ON NM,348939652,0.6878
HAPV3,HAPVIDA,ON NM,217060254,0.7212
HYPE3,HYPERA,ON EJ NM,407518048,0.7198
IGTA3,IGUATEMI,ON NM,86913923,0.2280
GNDI3,INTERMEDICA,ON NM,458380483,1.6088
IRBR3,IRBBRASIL RE,ON NM,931245594,1.7721
ITSA4,ITAUSA,PN N1,4494029326,3.0552
ITUB4,ITAUUNIBANCO,PN ED N1,4738562684,8.5731
JBSS3,JBS,ON NM,1620646499,2.1404
KLBN11,KLABIN S/A,UNT EJ N2,637772642,0.5945
RENT3,LOCALIZA,ON EB NM,560843706,1.3185
LAME4,LOJAS AMERIC,PN N1,696121215,0.8986
LREN3,LOJAS RENNER,ON EJ NM,781384541,2.1451
MGLU3,MAGAZ LUIZA,ON EJ NM,661834080,1.5557
MRFG3,MARFRIG,ON NM,423143092,0.2091
MRVE3,MRV,ON NM,289811954,0.3093
MULT3,MULTIPLAN,ON EJ N2,270279854,0.4359
PCAR4,P.ACUCAR-CBD,PN N1,156504298,0.6746
PETR3,PETROBRAS,ON N2,2731490625,4.2012
PETR4,PETROBRAS,PN EJ N2,4520185835,6.6176
BRDT3,PETROBRAS BR,ON NM,728125000,1.0698
QUAL3,QUALICORP,ON NM,280735698,0.5400
RADL3,RAIADROGASIL,ON NM,213553757,1.1527
RAIL3,RUMO S.A.,ON ATZ NM,1053753059,1.2985
SBSP3,SABESP,ON NM,339982576,0.9727
SANB11,SANTANDER BR,UNT,362227661,0.8512
CSNA3,SID NACIONAL,ON,642387288,0.4503
SMLS3,SMILES,ON EJ NM,58842428,0.1124
SULA11,SUL AMERICA,UNT EJ N2,278742752,0.8691
SUZB3,SUZANO S.A.,ON NM,725859318,1.4186
TAEE11,TAESA,UNT N2,218568274,0.3254
VIVT4,TELEF BRASIL,PN EDJ,415131868,1.1520
TIMP3,TIM PART S/A,ON NM,807711660,0.6135
TOTS3,TOTVS,ON EJ NM,134465885,0.4565
UGPA3,ULTRAPAR,ON NM,1085159631,1.3200
USIM5,USIMINAS,PNA N1,513781576,0.2371
VALE3,VALE,ON EJ NM,3158277584,8.1892
VVAR3,VIAVAREJO,ON NM,1148258639,0.6337
WEGE3,WEG,ON EJ NM,740696136,1.2389
YDUQ3,YDUQS PART,ON NM,299667897,0.6594
