Codigo,Acao,Tipo,Qtde Teorica,Part %
ABEV3,AMBEV S/A,ON,4344066764,4.6512
AZUL4,AZUL,PN N2,317029956,0.8540
BTOW3,B2W DIGITAL,ON ES NM,192547092,0.5176
B3SA3,B3,ON NM,2019623983,5.1750
BBSE3,BBSEGURIDADE,ON NM,671601167,1.2549
BRML3,BR MALLS PAR,ON NM,840057819,0.6476
BBDC3,BRADESCO,ON N1,1122288933,1.9449
BBDC4,BRADESCO,PN N1,3873597664,7.3002
BRAP4,BRADESPAR,PN N1,222108601,0.3611
BBAS3,BRASIL,ON ERJ NM,1332879313,3.5251
BRKM5,BRASKEM,PNA N1,264632416,0.4271
BRFS3,BRF SA,ON NM,811416229,1.7700
BPAC11,BTGP BANCO,UNT N2,194086927,0.6503
CCRO3,CCR SA,ON NM,1115695556,1.0369
CMIG4,CEMIG,PN N1,969723092,0.8186
CIEL3,CIELO,ON NM,1118386806,0.4957
CSAN3,COSAN,ON NM,155404710,0.4443
CVCB3,CVC BRASIL,ON NM,147421042,0.4474
CYRE3,CYRELA REALT,ON NM,263583096,0.3797
ECOR3,ECORODOVIAS,ON NM,171079276,0.1213
ELET3,ELETROBRAS,ON N1,269659841,0.7085
ELET6,ELETROBRAS,PNB N1,225964766,0.6067
EMBR3,EMBRAER,ON NM,735868554,0.7554
ENBR3,ENERGIAS BR,ON NM,295402225,0.3396
EGIE3,ENGIE BRASIL,ON NM,254813401,0.6555
EQTL3,EQUATORIAL,ON NM,198202097,1.0856
FLRY3,FLEURY,ON NM,305082672,0.4187
GGBR4,GERDAU,PN N1,1026217784,0.7554
GOAU4,GERDAU MET,PN N1,597099426,0.2134
GOLL4,GOL,PN ES N2,134613917,0.2556
HYPE3,HYPERA,ON NM,407518048,0.7498
IGTA3,IGUATEMI,ON NM,86913923,0.2286
GNDI3,INTERMEDICA,ON NM,364914616,1.1704
IRBR3,IRBBRASIL RE,ON NM,310415298,1.9263
ITSA4,ITAUSA,PN N1,4494029326,3.1539
ITUB4,ITAUUNIBANCO,PN N1,4738562684,9.1946
JBSS3,JBS,ON NM,1620646499,2.7474
KLBN11,KLABIN S/A,UNT N2,637772642,0.5493
KROT3,KROTON,ON ED NM,1498404420,0.8638
RENT3,LOCALIZA,ON NM,560843706,1.5089
LAME4,LOJAS AMERIC,PN N1,688058339,0.7371
LREN3,LOJAS RENNER,ON NM,781384541,2.2591
MGLU3,MAGAZ LUIZA,ON NM,554184304,1.1502
MRFG3,MARFRIG,ON NM,386047807,0.1843
MRVE3,MRV,ON NM,292910667,0.3300
MULT3,MULTIPLAN,ON N2,270279854,0.4017
NATU3,NATURA,ON NM,175045801,0.6605
PCAR4,P.ACUCAR-CBD,PN N1,156396724,0.7832
PETR3,PETROBRAS,ON N2,2949857480,4.7697
PETR4,PETROBRAS,PN N2,4520185835,6.5927
BRDT3,PETROBRAS BR,ON NM,728125000,1.1994
QUAL3,QUALICORP,ON NM,223809099,0.3659
RADL3,RAIADROGASIL,ON NM,213553757,1.1242
RAIL3,RUMO S.A.,ON NM,1053753059,1.3319
SBSP3,SABESP,ON NM,339982576,1.0053
SANB11,SANTANDER BR,UNT,362227661,0.8825
CSNA3,SID NACIONAL,ON,642387288,0.5276
SMLS3,SMILES,ON NM,58842428,0.1245
SUZB3,SUZANO S.A.,ON NM,725859318,1.2073
TAEE11,TAESA,UNT N2,218568274,0.3512
VIVT4,TELEF BRASIL,PN,415131868,1.2743
TIMP3,TIM PART S/A,ON NM,807711660,0.5682
UGPA3,ULTRAPAR,ON ED NM,1085159631,1.0191
USIM5,USIMINAS,PNA N1,513631763,0.2320
VALE3,VALE,ON NM,3147743563,8.2044
VVAR3,VIAVAREJO,ON NM,1147404383,0.5072
WEGE3,WEG,ON NM,740696136,0.9532
YDUQ3,YDUQS PART,ON NM,299667897,0.5392
