Codigo,Acao,Tipo,Qtde Teorica,Part %
ABEV3,AMBEV S/A,ON EJ,4355174839,3.1120
AZUL4,AZUL,PN N2,327283207,0.5870
B3SA3,B3,ON NM,1930877944,5.4180
BBAS3,BRASIL,ON NM,1283197221,2.2740
BBDC3,BRADESCO,ON EJ N1,1147260246,1.2680
BBDC4,BRADESCO,PN EJ N1,4261649634,5.2820
BBSE3,BBSEGURIDADE,ON NM,671584841,0.9090
BEEF3,MINERVA,ON NM,239331676,0.1110
BPAC11,BTGP BANCO,UNT N2,236093794,1.0130
BRAP4,BRADESPAR,PN N1,222075664,0.6460
BRDT3,PETROBRAS BR,ON EJ NM,1164958126,1.1770
BRFS3,BRF SA,ON NM,811759800,0.8170
BRKM5,BRASKEM,PNA N1,264640575,0.2850
BRML3,BR MALLS PAR,ON NM,843728684,0.3810
BTOW3,B2W DIGITAL,ON NM,201549295,0.6960
CCRO3,CCR SA,ON NM,1115695556,0.6860
CIEL3,CIELO,ON EJ NM,1112196638,0.2030
CMIG4,CEMIG,PN N1,969723092,0.6340
COGN3,COGNA ON,ON NM,1847994874,0.3910
CPFE3,CPFL ENERGIA,ON NM,187714249,0.2790
CPLE6,COPEL,PNB EJ N1,128297543,0.4390
CRFB3,CARREFOUR BR,ON NM,391758726,0.3470
CSAN3,COSAN,ON NM,129314042,0.4470
CSNA3,SID NACIONAL,ON,642398790,0.9340
CVCB3,CVC BRASIL,ON NM,172756818,0.1620
CYRE3,CYRELA REALT,ON NM,281154098,0.3780
ECOR3,ECORODOVIAS,ON NM,171109276,0.1040
EGIE3,ENGIE BRASIL,ON EDJ NM,254792279,0.5110
ELET3,ELETROBRAS,ON N1,358018408,0.6000
ELET6,ELETROBRAS,PNB N1,242977127,0.4110
EMBR3,EMBRAER,ON NM,736143105,0.2980
ENBR3,ENERGIAS BR,ON NM,250403441,0.2250
ENEV3,ENEVA,ON NM,287844670,0.8160
ENGI11,ENERGISA,UNT N2,250679709,0.5990
EQTL3,EQUATORIAL,ON NM,1010286085,1.0680
EZTC3,EZTEC,ON NM,95756217,0.1880
FLRY3,FLEURY,ON NM,303800430,0.3750
GGBR4,GERDAU,PN EJ N1,995903643,1.1120
GNDI3,INTERMEDICA,ON NM,588176771,2.1040
GOAU4,GERDAU MET,PN EJ N1,693699918,0.3570
GOLL4,GOL,PN N2,137725788,0.1570
HAPV3,HAPVIDA,ON NM,1085256490,0.7560
HGTX3,CIA HERING,ON EDJ NM,126186408,0.0990
HYPE3,HYPERA,ON EJ NM,410147968,0.6410
IGTA3,IGUATEMI,ON NM,85796919,0.1460
IRBR3,IRBBRASIL RE,ON NM,1255327516,0.4690
ITSA4,ITAUSA,PN N1,4515538171,2.4190
ITUB4,ITAUUNIBANCO,PN N1,4757466114,6.8680
JBSS3,JBS,ON NM,1500315048,1.6210
JHSF3,JHSF PART,ON NM,288952690,0.1030
KLBN11,KLABIN S/A,UNT N2,788757519,0.9530
LAME4,LOJAS AMERIC,PN N1,835451478,1.0030
LCAM3,LOCAMERICA,ON EJ NM,323763077,0.4330
LREN3,LOJAS RENNER,ON EJ NM,785417914,1.5620
MGLU3,MAGAZ LUIZA,ON EJ NM,2668955512,3.0410
MRFG3,MARFRIG,ON NM,368864634,0.2440
MRVE3,MRV,ON NM,298796441,0.2590
MULT3,MULTIPLAN,ON EJ N2,276848567,0.2970
NTCO3,GRUPO NATURA,ON NM,841083922,2.0160
PCAR3,P.ACUCAR-CBD,ON NM,157635935,0.5400
PETR3,PETROBRAS,ON N2,3307982840,4.3580
PETR4,PETROBRAS,PN N2,4566457037,5.9100
PRIO3,PETRORIO,ON NM,135160900,0.4330
QUAL3,QUALICORP,ON NM,283467789,0.4510
RADL3,RAIADROGASIL,ON EJ NM,1072645150,1.2270
RAIL3,RUMO S.A.,ON NM,1218081171,1.0700
RENT3,LOCALIZA,ON NM,592069308,1.8640
SANB11,SANTANDER BR,UNT,355666691,0.7280
SBSP3,SABESP,ON NM,339999111,0.6900
SULA11,SUL AMERICA,UNT N2,279572852,0.5660
SUZB3,SUZANO S.A.,ON NM,724921241,1.9380
TAEE11,TAESA,UNT N2,218568274,0.3330
TIMS3,TIM,ON EJ NM,808485985,0.5410
TOTS3,TOTVS,ON EJ NM,480228410,0.6300
UGPA3,ULTRAPAR,ON NM,1087056490,1.1780
USIM5,USIMINAS,PNA N1,513729947,0.3430
VALE3,VALE,ON NM,2837320141,11.3310
VIVT3,TELEF BRASIL,ON EDJ,444219852,0.9430
VVAR3,VIAVAREJO,ON ATZ NM,1595083594,1.1770
WEGE3,WEG,ON EJ NM,741148001,2.5630
YDUQ3,YDUQS PART,ON NM,300483575,0.4520
